relative_time,Height change
0,39894.5772
33,39894.5772
99,39894.5772
170,39894.5772
233,39894.5772
299,39894.5772
369,39894.5772
433,39894.5772
499,39894.58703
569,39894.58703
633,39894.58703
699,39894.58703
769,39894.58703
833,39894.58703
899,39894.58703
970,39894.58703
1033,39894.58703
1099,39894.58703
1170,39894.58703
1234,39894.58703
1299,39894.58703
1371,39894.58703
1435,39894.58703
1499,39894.58179
1571,39894.58179
1632,39894.58179
1699,39894.58179
1771,39894.58179
1833,39894.58179
1899,39894.58179
1972,39894.58179
2033,39894.58179
2099,39894.58179
2171,39894.58179
2233,39894.58179
2299,39894.58179
2371,39894.58179
2435,39894.58179
2499,39894.58179
2572,39894.58179
2634,39894.58179
2699,39894.58179
2769,39894.58179
2833,39894.58179
2899,39894.58179
2970,39894.58179
3033,39894.58179
3099,39894.58179
3169,39894.58179
3233,39894.58179
3299,39894.58179
3374,39894.58179
3436,39894.58179
3499,39894.57196
3570,39894.57196
3634,39894.57196
3699,39894.57196
3771,39894.57196
3833,39894.57196
3898,39894.57196
3969,39894.57196
4033,39894.57196
4098,39894.57196
4171,39894.57196
4233,39894.57196
4299,39894.57196
4371,39894.57196
4433,39894.57196
4499,39894.57196
4570,39894.57196
4633,39894.57196
4699,39894.57196
4771,39894.57196
4862,39894.57196
4899,39894.57196
4972,39894.57196
5033,39894.57196
5099,39894.57196
5171,39894.57196
5233,39894.57196
5299,39894.57196
5369,39894.57196
5433,39894.57196
5499,39894.57196
5570,39894.59883
5633,39894.59883
5698,39894.59883
5768,39894.59883
5832,39894.59883
5898,39894.59883
5969,39894.59883
6033,39894.59883
6099,39894.59883
6169,39894.59883
6233,39894.59883
6299,39894.59883
6368,39894.59883
6432,39894.59883
6499,39894.59883
6568,39894.59883
6633,39894.59883
6699,39894.59883
6770,39894.59883
6833,39894.59883
6899,39894.59883
6971,39894.59883
7033,39894.59883
7099,39894.59883
7172,39894.59883
7233,39894.59883
7299,39894.59883
7371,39894.59883
7433,39894.59883
7499,39894.59883
7572,39894.47038
7633,39894.47038
7699,39894.47038
7771,39894.47038
7833,39894.47038
7899,39894.47038
7969,39894.47038
8033,39894.47038
8099,39894.47038
8172,39894.47038
8233,39894.47038
8299,39894.47038
8373,39894.47038
8433,39894.47038
8499,39894.47038
8572,39894.06279
8633,39894.06279
8699,39894.06279
8770,39894.06279
8833,39894.06279
8899,39894.06279
8968,39894.06279
9032,39894.06279
9099,39894.06279
9171,39894.06279
9233,39894.06279
9299,39894.06279
9372,39894.06279
9433,39894.06279
9498,39894.06279
9572,39893.30793
9633,39893.30793
9699,39893.30793
9772,39893.30793
9852,39893.30793
9899,39893.30793
9968,39893.30793
10033,39893.30793
10099,39893.30793
10171,39893.30793
10233,39893.30793
10299,39893.30793
10372,39893.30793
10433,39893.30793
10499,39893.30793
10576,39893.30793
10633,39892.16463
10699,39892.16463
10772,39892.16463
10833,39892.16463
10899,39892.16463
10970,39892.16463
11033,39892.16463
11098,39892.16463
11170,39892.16463
11232,39892.16463
11299,39892.16463
11368,39892.16463
11433,39892.16463
11498,39892.16463
11572,39892.16463
11633,39890.69134
11699,39890.69134
11772,39890.69134
11833,39890.69134
11899,39890.69134
11973,39890.69134
12033,39890.69134
12098,39890.69134
12171,39890.69134
12233,39890.69134
12299,39890.69134
12371,39890.69134
12433,39890.69134
12499,39890.69134
12572,39890.69134
12633,39888.95634
12699,39888.95634
12770,39888.95634
12833,39888.95634
12899,39888.95634
12972,39888.95634
13033,39888.95634
13098,39888.95634
13168,39888.95634
13232,39888.95634
13299,39888.95634
13367,39888.95634
13433,39888.95634
13499,39888.95634
13569,39888.95634
13633,39887.10449
13699,39887.10449
13773,39887.10449
13833,39887.10449
13899,39887.10449
13972,39887.10449
14033,39887.10449
14098,39887.10449
14172,39887.10449
14233,39887.10449
14299,39887.10449
14365,39887.10449
14433,39887.10449
14499,39887.10449
14565,39887.10449
14633,39885.29427
14699,39885.29427
14768,39885.29427
14852,39885.29427
14899,39885.29427
14968,39885.29427
15033,39885.29427
15099,39885.29427
15168,39885.29427
15233,39885.29427
15299,39885.29427
15370,39885.29427
15432,39885.29427
15499,39885.29427
15565,39885.29427
15632,39885.29427
15699,39883.48443
15765,39883.48443
15832,39883.48443
15899,39883.48443
15967,39883.48443
16032,39883.48443
16099,39883.48443
16167,39883.48443
16233,39883.48443
16299,39883.48443
16365,39883.48443
16432,39883.48443
16499,39883.48443
16567,39883.48443
16632,39883.48443
16699,39881.69721
16767,39881.69721
16832,39881.69721
16898,39881.69721
16965,39881.69721
17033,39881.69721
17099,39881.69721
17166,39881.69721
17233,39881.69721
17299,39881.69721
17367,39881.69721
17433,39881.69721
17498,39881.69721
17568,39881.69721
17633,39881.69721
17699,39879.94177
17765,39879.94177
17832,39879.94177
17899,39879.94177
17965,39879.94177
18033,39879.94177
18099,39879.94177
18165,39879.94177
18232,39879.94177
18299,39879.94177
18367,39879.94177
18433,39879.94177
18499,39879.94177
18567,39879.94177
18632,39879.94177
18699,39878.26321
18766,39878.26321
18832,39878.26321
18899,39878.26321
18967,39878.26321
19033,39878.26321
19099,39878.26321
19167,39878.26321
19233,39878.26321
19299,39878.26321
19365,39878.26321
19432,39878.26321
19499,39878.26321
19567,39878.26321
19632,39878.26321
19699,39876.65038
19767,39876.65038
19854,39876.65038
19899,39876.65038
19965,39876.65038
20032,39876.65038
20099,39876.65038
20167,39876.65038
20232,39876.65038
20299,39876.65038
20367,39876.65038
20432,39876.65038
20499,39876.65038
20567,39876.65038
20632,39876.65038
20699,39876.65038
20765,39875.27585
20833,39875.27585
20899,39875.27585
20967,39875.27585
21033,39875.27585
21099,39875.27585
21167,39875.27585
21232,39875.27585
21299,39875.27585
21367,39875.27585
21433,39875.27585
21499,39875.27585
21567,39875.27585
21633,39875.27585
21699,39875.27585
21765,39874.18265
21833,39874.18265
21899,39874.18265
21965,39874.18265
22033,39874.18265
22099,39874.18265
22165,39874.18265
22232,39874.18265
22298,39874.18265
22365,39874.18265
22432,39874.18265
22499,39874.18265
22565,39874.18265
22632,39874.18265
22699,39874.18265
22765,39873.39161
22832,39873.39161
23289,39873.39161
23355,39873.39161
23422,39873.39161
23489,39873.39161
23555,39873.39161
23622,39873.39161
23689,39873.39161
23755,39873.39161
23823,39873.39161
23888,39873.39161
23955,39873.39161
24022,39873.39161
24089,39873.39161
24155,39872.91637